Tempo total; Inicialização; Finalização; Processamento
11,382000;0,031000;0,004000;11,347000
8,068000;0,000000;0,012000;8,056000
6,164000;0,006000;0,004000;6,154000
5,992000;0,013000;0,004000;5,975000

7,438000;0,012000;0,006000;7,420000
8,096000;0,003000;0,000000;8,093000
7,580000;0,011000;0,016000;7,553000
7,203000;0,013000;0,000000;7,190000

4,946000;0,015000;0,000000;4,931000
4,481000;0,005000;0,005000;4,471000
4,406000;0,002000;0,013000;4,391000
3,589000;0,006000;0,000000;3,583000

2,335000;0,003000;0,003000;2,329000
2,244000;0,001000;0,000000;2,243000
2,150000;0,013000;0,000000;2,137000
2,083000;0,006000;0,000000;2,077000


2,306000;0,004000;0,006000;2,296000
2,433000;0,013000;0,000000;2,420000
2,234000;0,012000;0,002000;2,220000
2,318000;0,008000;0,000000;2,310000
